Type,Code,Thème,Catégorie
vérification,RCE.3.2.4,Réduction des Consommations d'Eau,Classe de confort
vérification,RCE.3.2.9,Réduction des Consommations d'Eau,Mitigeur thermostatique
vérification,RCE.3.2.17,Réduction des Consommations d'Eau,Débit Taxonomie
identification,RCE.4.1,Réduction des Consommations d'Eau,Indicateur consommation d'eau
identification,SOL.1.2,Utilisation des sols,Calcul du coefficient d'imperméabilisation de la parcelle
vérification,SOL.2.1,Utilisation des sols,Extension verticale
vérification,SOL.3.1,Utilisation des sols,Système de rétention écologique des EP
vérification,REM.1.2.2,Ressources matières,Forêt écocertifiée
identification,REM.2.2.3,Ressources matières,Recours aux produits recyclés
vérification,REM.2.4.1,Ressources matières,"Indicateur ""Epuisement des ressources"""
identification,REM.2.4.3,Ressources matières,Réemploi ou réutilisation des produits de construction
vérification,DEC.1,Déchets,Indicateurs déchets par ACV bâtiment
identification,DEC.2,Déchets,Valorisation des déchets de chantier
vérification,DEC.5,Déchets,Labellisation Quali recycle BTP
vérification,DEC.6,Déchets,Déchets générés par les travaux
vérification,DEC.7,Déchets,Elimination des déchets
vérification,DEC.3.1,Déchets,Potentiel d'évolution du bâtiment
vérification,DEC.4.1,Déchets,Potentiel de démontabilité du bâtiment
vérification,CC.2,Changement Climatique,Potentiel d'écomobilité du bâtiment
vérification,CC.10,Changement Climatique,ICconstruction et ICénergie
vérification,CC.11,Changement Climatique,ICénergie
vérification,CC.12,Changement Climatique,ICconstruction
vérification,CC.13,Changement Climatique,Qualif 13-33
vérification,BDV.3.1,Biodiversité,Enjeux écologiques
vérification,BDV.3.2,Biodiversité,Diagnostic écologique
vérification,BDV.3.5,Biodiversité,IVE/ITCE
vérification,BDV.4.1,Biodiversité,Minimum de végétalisation
vérification,BDV.4.3,Biodiversité,Palette végétale
vérification,BDV.4.5,Biodiversité,Programme d’entretien et de maintenance des aménagements paysagers
identification,BDV.5.1,Biodiversité,IVS
vérification,BDV.5.2,Biodiversité,Neutralisation des risques et pollution lumineuse
identification,CDE.1.1,Coût d’entretien et durabilité de l’enveloppe,Calcul de la durabilité de l'enveloppe
vérification,CDE.1.4,Coût d’entretien et durabilité de l’enveloppe,Systèmes de finition
vérification,MCC.1,Maîtrise des Consommations et des Charges,Estimation des charges d'exploitation
vérification,CG.1,Coût Global,Etudes d'approvisionnement en énergie
cohérence,CG.2,Coût Global,Etudes en coût global
vérification,CG.5,Coût Global,Réemploi
vérification,DCN.1,Déconstruction,Diagnostic déchets
vérification,DCN.2,Déconstruction,Dépose sélective et diagnostic déchets
vérification,DCN.3,Déconstruction,"Dépose sélective, recyclage et valorisation matière"
identification,DCN.5,Déconstruction,Valorisation des déchets de chantier
vérification,VRL.1,Valorisation des ressources locales,Synergie
vérification,VRL.2,Valorisation des ressources locales,Filière locale
vérification,QSI.1.1.1,Qualité de services et d'information,Support d'information
vérification,QSI.1.1.2,Qualité de services et d'information,Information au prospect
vérification,QSI.1.2.1,Qualité de services et d'information,Contrat de réservation
vérification,QSI.1.2.2,Qualité de services et d'information,Garantie spécifique à la VEFA
vérification,QSI.1.2.3,Qualité de services et d'information,Délais contractuels de livraison
vérification,QSI.1.2.4,Qualité de services et d'information,Obtention de la certification
vérification,QSI.1.3.1,Qualité de services et d'information,Planning d'information
vérification,QSI.1.3.2,Qualité de services et d'information,Communication des retards
vérification,QSI.1.3.3,Qualité de services et d'information,Visite du logement
vérification,QSI.1.3.4,Qualité de services et d'information,TMA et Travaux réservés
vérification,QSI.1.4.1,Qualité de services et d'information,Documents lors de la remise des clés
vérification,QSI.1.4.3,Qualité de services et d'information,Année de parfait achèvement
vérification,QSI.1.4.4,Qualité de services et d'information,Etudes de satisfaction Clients
vérification,QSI.2.1.1,Qualité de services et d'information,Support d'information
vérification,QSI.2.1.2,Qualité de services et d'information,Information au prospect
vérification,QSI.2.1.3,Qualité de services et d'information,Promesse de vente
vérification,QSI.2.1.4,Qualité de services et d'information,Attestation de conformité
vérification,QSI.2.2.1,Qualité de services et d'information,Année de parfait achèvement
vérification,QSI.2.2.2,Qualité de services et d'information,Etudes de satisfaction Clients
vérification,QSI.3.1.1,Qualité de services et d'information,Document d'information
vérification,QSI.3.2.1,Qualité de services et d'information,Communication sur la marque NF Habitat
